num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.0,0.0,0.0,0.0
1,[150272],0.0,0.0,0.0,0.0
2,[210064],0.0,0.0,0.0,0.0
3,[155847],0.0,0.0,0.0,0.0
4,[11613],0.0,0.0,0.0,0.0
5,[177758],0.0,0.0,0.0,0.0
6,[175246],0.0,0.0,0.0,0.0
7,[68199],0.0,0.0,0.0,0.0
8,[129999],0.0,0.0,0.0,0.0
9,[215117],0.0,0.0,0.0,0.0
10,[77580],0.0,0.0,0.0,0.0
11,[97769],0.0,0.0,0.0,0.0
12,[253695],0.0,0.0,0.0,0.0
13,[13331],0.0,0.0,0.0,0.0
14,[124430],0.0,0.0,0.0,0.0
15,[171514],0.0,0.0,0.0,0.0
16,[233639],0.0,0.0,0.0,0.0
17,[165888],0.0,0.0,0.0,0.0
18,[258608],0.0,0.0,0.0,0.0
19,[277681],0.0,0.0,0.0,0.0
20,[256308],0.0,0.0,0.0,0.0
21,[6909],0.0,0.0,0.0,0.0
22,[89999],0.0,0.0,0.0,0.0
23,[7556],0.0,0.0,0.0,0.0
24,[297262],0.0,0.0,0.0,0.0
25,[231319],0.0,0.0,0.0,0.0
26,[214088],0.0,0.0,0.0,0.0
27,[190009],0.0,0.0,0.0,0.0
28,[219161],0.0,0.0,0.0,0.0
29,[224057],0.0,0.0,0.0,0.0
30,[128904],0.0,0.0,0.0,0.0
31,[200210],0.0,0.0,0.0,0.0
32,[58302],0.0,0.0,0.0,0.0
33,[131164],0.0,0.0,0.0,0.0
34,[208678],0.0,0.0,0.0,0.0
35,[230612],0.0,0.0,0.0,0.0
36,[216942],0.0,0.0,0.0,0.0
37,[13061],0.0,0.0,0.0,0.0
38,[115851],0.0,0.0,0.0,0.0
39,[160323],0.0,0.0,0.0,0.0
40,[278785],0.0,0.0,0.0,0.0
41,[174559],0.0,0.0,0.0,0.0
42,[301620],0.0,0.0,0.0,0.0
43,[240492],0.0,0.0,0.0,0.0
44,[50251],0.0,0.0,0.0,0.0
45,[27740],0.0,0.0,0.0,0.0
46,[146554],0.0,0.0,0.0,0.0
47,[121639],0.0,0.0,0.0,0.0
48,[26603],0.0,0.0,0.0,0.0
49,[259157],0.0,0.0,0.0,0.0
50,[136518],0.0,0.0,0.0,0.0
51,[135486],0.0,0.0,0.0,0.0
52,[292733],0.0,0.0,0.0,0.0
53,[160170],0.0,0.0,0.0,0.0
54,[17714],0.0,0.0,0.0,0.0
55,[49612],0.0,0.0,0.0,0.0
56,[19907],0.0,0.0,0.0,0.0
57,[112777],0.0,0.0,0.0,0.0
58,[245314],0.0,0.0,0.0,0.0
59,[151164],0.0,0.0,0.0,0.0
60,[173137],0.0,0.0,0.0,0.0
61,[220007],0.0,0.0,0.0,0.0
62,[282197],0.0,0.0,0.0,0.0
63,[123500],0.0,0.0,0.0,0.0
64,[23309],0.0,0.0,0.0,0.0
65,[138182],0.0,0.0,0.0,0.0
66,[120179],0.0,0.0,0.0,0.0
67,[52014],0.0,0.0,0.0,0.0
68,[199904],0.0,0.0,0.0,0.0
69,[153539],0.0,0.0,0.0,0.0
70,[73570],0.0,0.0,0.0,0.0
71,[224713],0.0,0.0,0.0,0.0
72,[205341],0.0,0.0,0.0,0.0
73,[112424],0.0,0.0,0.0,0.0
74,[15122],0.0,0.0,0.0,0.0
75,[259340],0.0,0.0,0.0,0.0
76,[289780],0.0,0.0,0.0,0.0
77,[136382],0.0,0.0,0.0,0.0
78,[208613],0.0,0.0,0.0,0.0
79,[220095],0.0,0.0,0.0,0.0
80,[177232],0.0,0.0,0.0,0.0
81,[20923],0.0,0.0,0.0,0.0
82,[253694],0.0,0.0,0.0,0.0
83,[287385],0.0,0.0,0.0,0.0
84,[145175],0.0,0.0,0.0,0.0
85,[252237],0.0,0.0,0.0,0.0
86,[60929],0.0,0.0,0.0,0.0
87,[68198],0.0,0.0,0.0,0.0
88,[116744],0.0,0.0,0.0,0.0
89,[123744],0.0,0.0,0.0,0.0
90,[32512],0.0,0.0,0.0,0.0
91,[56420],0.0,0.0,0.0,0.0
92,[51760],0.0,0.0,0.0,0.0
93,[294610],0.0,0.0,0.0,0.0
94,[296758],0.0,0.0,0.0,0.0
95,[259406],0.0,0.0,0.0,0.0
96,[77131],0.0,0.0,0.0,0.0
97,[129496],0.0,0.0,0.0,0.0
98,[130550],0.0,0.0,0.0,0.0
99,[70939],0.0,0.0,0.0,0.0
100,[165929],0.0,0.0,0.0,0.0
